time,open,high,low,close,volume
2002-12-12,1.5762,1.5827,1.5721,1.5816,10685
2002-12-13,1.5814,1.5912,1.5775000000000001,1.5905,10595
2002-12-16,1.5891,1.5939999999999999,1.5864,1.5907,10547
2002-12-17,1.5908,1.6021,1.5894,1.5983,11525
2002-12-18,1.5981999999999998,1.6047,1.5954000000000002,1.6040999999999999,10725
2002-12-19,1.6048,1.6065,1.5983,1.6037,11176
2002-12-20,1.6027,1.6052,1.6004,1.603,10362
2002-12-23,1.6019,1.6069,1.5868,1.5941,9683
2002-12-24,1.5944,1.5974,1.5897000000000001,1.5946,8205
2002-12-25,1.5953,1.5984,1.5927,1.5955,1181
2002-12-26,1.5945,1.6012,1.5939,1.5998999999999999,6494
2002-12-27,1.6002999999999998,1.6045,1.5981999999999998,1.6040999999999999,9520
2002-12-30,1.6032,1.6061999999999999,1.601,1.6029,9670
2002-12-31,1.6028,1.6138,1.6006,1.6097000000000001,8936
2003-01-01,1.6098,1.6116000000000001,1.6094,1.6099999999999999,211
2003-01-02,1.6099999999999999,1.611,1.5918,1.5939999999999999,9829
2003-01-03,1.5939,1.6115,1.5905,1.6109,10869
2003-01-06,1.609,1.6162999999999998,1.6054,1.6057000000000001,10992
2003-01-07,1.6058,1.609,1.6018,1.6047,11146
2003-01-08,1.6042,1.6153,1.5964,1.6124,11762
2003-01-09,1.6129,1.6168,1.6028,1.6074000000000002,11461
2003-01-10,1.6074000000000002,1.6151,1.6040999999999999,1.6076000000000001,10998
2003-01-13,1.609,1.6099999999999999,1.5991,1.6002,10816
2003-01-14,1.6000999999999999,1.612,1.5986,1.6033,11316
2003-01-15,1.6036000000000001,1.6075,1.5955,1.6040999999999999,11184
2003-01-16,1.6042999999999998,1.615,1.6018,1.6095000000000002,10742
2003-01-17,1.6095000000000002,1.6200999999999999,1.6084,1.6133,11553
2003-01-20,1.6118000000000001,1.6129,1.6037,1.6085,10982
2003-01-21,1.6088,1.6188,1.6016,1.6183,13311
2003-01-22,1.6172,1.6223,1.6087,1.6208,12983
2003-01-23,1.621,1.6244,1.6151,1.6221,12017
2003-01-24,1.6218,1.6360999999999999,1.6208,1.6336,12324
2003-01-27,1.6332,1.6414,1.6280000000000001,1.6358000000000001,11796
2003-01-28,1.6356000000000002,1.642,1.6306,1.641,12657
2003-01-29,1.6395,1.6499000000000001,1.6391,1.6477,13468
2003-01-30,1.6477,1.6562000000000001,1.6397,1.6545999999999998,12924
2003-01-31,1.655,1.6573,1.6423,1.6471,11291
2003-02-03,1.6478000000000002,1.6481,1.6360999999999999,1.6436,10144
2003-02-04,1.6434,1.6503999999999999,1.6412,1.6488,11080
2003-02-05,1.6491,1.6539000000000001,1.6373,1.6411,12413
2003-02-06,1.6408,1.6479,1.6341,1.6381999999999999,10599
2003-02-07,1.6383,1.6385,1.6233,1.6322,10586
2003-02-10,1.6315,1.6356000000000002,1.6251,1.626,10033
2003-02-11,1.6258,1.6272,1.6136,1.6194,11359
2003-02-12,1.6192,1.6225,1.6128,1.6160999999999999,9914
2003-02-13,1.6165,1.6247,1.6151,1.621,12076
2003-02-14,1.6209,1.6233,1.6098,1.6145,10287
2003-02-17,1.6112,1.6122,1.5951,1.5975000000000001,10169
2003-02-18,1.5976,1.604,1.5897999999999999,1.5912,10422
2003-02-19,1.5909,1.5981999999999998,1.5891,1.5966,11717
2003-02-20,1.5968,1.6021999999999998,1.5909,1.5937000000000001,10300
2003-02-21,1.5936,1.5981,1.5771,1.5788,11269
2003-02-24,1.5758,1.5885,1.5739999999999998,1.5869,9274
2003-02-25,1.5867,1.5892,1.5701,1.5739,10458
2003-02-26,1.5737999999999999,1.5848,1.5716999999999999,1.5836000000000001,10272
2003-02-27,1.5834000000000001,1.5876000000000001,1.5758999999999999,1.5796000000000001,10531
2003-02-28,1.5796999999999999,1.5840999999999998,1.5722,1.5734,9912
2003-03-03,1.5718,1.5812,1.5712000000000002,1.5793,9072
2003-03-04,1.579,1.5875,1.5781,1.5857999999999999,10308
2003-03-05,1.5859999999999999,1.6045,1.5856,1.6025,10886
2003-03-06,1.6021,1.6068,1.5968,1.5993,10795
2003-03-07,1.5994000000000002,1.6094,1.5960999999999999,1.6031,10462
2003-03-10,1.6023,1.604,1.5929,1.6011,9842
2003-03-11,1.6014,1.6087,1.5977000000000001,1.607,10235
2003-03-12,1.6065,1.6159,1.6042999999999998,1.6122999999999998,10484
2003-03-13,1.6122,1.6127,1.5986,1.6007,11082
2003-03-14,1.6007,1.6029,1.5791,1.5836000000000001,10127
2003-03-17,1.5878,1.5907,1.5661,1.5692,10906
2003-03-18,1.5681,1.5708,1.5602,1.5661,11296
2003-03-19,1.5661,1.5681,1.5537999999999998,1.5652,10881
2003-03-20,1.5652,1.5702,1.5619,1.5661,11008
2003-03-21,1.5665,1.5697999999999999,1.5588,1.5631,10064
2003-03-24,1.5643,1.5777,1.5641,1.5753,9752
2003-03-25,1.5754000000000001,1.58,1.5683,1.5753,10373
2003-03-26,1.5752000000000002,1.5768,1.5699,1.5749,9890
2003-03-27,1.5747,1.5791,1.5625,1.5647,10351
2003-03-28,1.5649,1.5785,1.561,1.5741,9676
2003-03-31,1.5744,1.5840999999999998,1.5728,1.5819,10428
2003-04-01,1.5816,1.5838,1.5718,1.5777,9157
2003-04-02,1.5779999999999998,1.5819999999999999,1.5642,1.5678999999999998,10662
2003-04-03,1.5676999999999999,1.5741,1.5593,1.5727,10685
2003-04-04,1.5727,1.5735000000000001,1.5588,1.561,10445
2003-04-07,1.5556,1.5594000000000001,1.546,1.5556,9923
2003-04-08,1.5558,1.5565,1.549,1.5551,10199
2003-04-09,1.5551,1.5654,1.55,1.5643,10499
2003-04-10,1.5647,1.5744,1.5621,1.5725,10529
2003-04-11,1.5723,1.5735000000000001,1.5659,1.5705,10432
2003-04-14,1.5705,1.5769,1.5682,1.5718,9534
2003-04-15,1.5715,1.5746,1.5672000000000001,1.5706,9814
2003-04-16,1.5707,1.5811,1.5687,1.5806,9588
2003-04-17,1.581,1.5848,1.5697,1.5711,9808
2003-04-18,1.5711,1.5760999999999998,1.5705,1.5712000000000002,5119
2003-04-21,1.5725,1.5756999999999999,1.5586,1.5615,6855
2003-04-22,1.5609,1.5805,1.5596,1.5776,9320
2003-04-23,1.5773000000000001,1.5884,1.5716999999999999,1.5838999999999999,9399
2003-04-24,1.5836000000000001,1.5981,1.5833,1.5935000000000001,10009
2003-04-25,1.5935000000000001,1.5962,1.5864,1.5918,9363
2003-04-28,1.5934,1.5986,1.5873,1.5886,9230
2003-04-29,1.5884,1.5952,1.5859999999999999,1.5941,9219
2003-04-30,1.5944,1.6034000000000002,1.5909,1.5991,10457
2003-05-01,1.5998999999999999,1.6141,1.5974,1.6106,9647
2003-05-02,1.6109,1.6122999999999998,1.6009,1.6040999999999999,8810
2003-05-05,1.604,1.6080999999999999,1.6017000000000001,1.6054,10292
2003-05-06,1.6061,1.6192,1.6053,1.6160999999999999,12666
2003-05-07,1.6151,1.616,1.5901999999999998,1.5971,12948
2003-05-08,1.5967,1.6084,1.5918999999999999,1.6019999999999999,13139
2003-05-09,1.6028,1.6101,1.6004,1.6055000000000001,12234
2003-05-12,1.608,1.615,1.6037,1.6108,12173
2003-05-13,1.6112,1.6120999999999999,1.6042,1.6096,12050
2003-05-14,1.6096,1.6215000000000002,1.6061,1.6165,10237
2003-05-15,1.617,1.6279,1.6126,1.6211,9701
2003-05-16,1.6211,1.6298,1.6179999999999999,1.6216,8983
2003-05-19,1.6278000000000001,1.6383,1.625,1.6338,9921
2003-05-20,1.6337000000000002,1.6437,1.6303999999999998,1.6402,10714
2003-05-21,1.6402,1.6472,1.6329,1.6341,10615
2003-05-22,1.6343999999999999,1.6397,1.6315,1.6338,10235
2003-05-23,1.634,1.6454,1.6309,1.6355,10036
2003-05-26,1.6335,1.642,1.6329,1.6383,7136
2003-05-27,1.6379000000000001,1.6468,1.6372,1.6387,10014
2003-05-28,1.639,1.6441,1.6308,1.6387,9873
2003-05-29,1.6389,1.6553,1.6318000000000001,1.6539000000000001,11156
2003-05-30,1.6543,1.6548,1.6329,1.6360000000000001,10871
2003-06-02,1.6263999999999998,1.6400000000000001,1.6253,1.6372,11384
2003-06-03,1.6367,1.6429,1.623,1.629,10342
