timestamp,open,high,low,close,volume
1760256000,182.372,182.55,181.191,181.568,9926293.003738
1760259600,181.568,182.057,180.127,181.851,10246315.264616
1760263200,181.851,182.556,180.46,180.587,9440057.187909
1760266800,180.587,181.742,180.375,180.873,7913355.603113
1760270400,180.873,183.088,180.655,181.6,13014373.170796
1760274000,181.6,181.73,178.092,179.113,16050888.43807
1760277600,179.113,188.79,178.972,186.147,30294038.550205
1760281200,186.147,191.72,185.483,191.014,32978333.163552
1760284800,191.014,195.455,191.014,193.741,21576562.022023
1760288400,193.741,195.983,193.201,194.437,13849386.711909
1760292000,194.437,195.46,191.607,193.663,12779105.375854
1760295600,193.663,196.471,193.338,195.787,12973171.729236
1760299200,195.787,198.899,195.266,196.742,18517431.251068998
1760302800,196.742,197.924,193.02,195.414,22179795.807307
1760306400,195.414,198.01,195.414,197.411,16740348.97642
1760310000,197.411,197.422,195.278,196.904,20898890.912916
1760313600,196.904,199.225,195.595,197.109,16715387.698088
1760317200,197.109,199.325,195.874,199.232,14345171.603045
1760320800,199.232,199.858,195.44,196.237,15389710.541523
1760324400,196.237,196.939,194.025,194.546,12722095.564377
1760328000,194.546,196.336,193.933,196.092,23292125.502888
1760331600,196.092,196.19,193.322,193.789,14475416.190098
1760335200,193.789,197.235,192.652,196.897,20213098.473088
1760338800,196.897,199.514,195.733,196.626,29221913.716359
1760342400,196.626,198.676,195.964,198.191,25914049.734052
1760346000,198.191,198.231,196.444,196.882,30626274.019834
1760349600,196.882,196.989,194.737,195.301,12670789.211381
1760353200,195.301,195.399,190.053,192.524,28174382.320853
1760356800,192.524,194.391,191.301,191.806,21952535.05002
1760360400,191.806,197.198,191.16,196.267,48989270.053103
1760364000,196.267,196.882,192.222,193.191,35074335.631295
1760367600,193.191,197.63,193.072,196.341,22465569.129574
1760371200,196.341,200.52,196.065,200.182,44902689.295294
1760374800,200.182,205.567,200.099,205.133,40388871.677496
1760378400,205.133,206.684,203.978,205.952,40349089.281604
1760382000,205.952,208.787,205.578,207.113,29173640.930568002
1760385600,207.113,208.765,206.751,208.541,13118790.74043
1760389200,208.541,208.899,207.655,207.878,13463209.555645
1760392800,207.878,209.375,207.563,208.337,13547038.138748
1760396400,208.337,209.092,207.203,208.573,10022909.607236
1760400000,208.573,211.199,207.964,209.219,13900558.587685
1760403600,209.219,209.978,207.73,208.27,19102662.418937
1760407200,208.27,208.47,205.479,205.989,25532681.831537
1760410800,205.989,206.756,204.714,205.613,20200271.647243
1760414400,205.613,205.734,200.718,201.939,18453639.963159
1760418000,201.939,203.711,198.74,199.517,18159890.164413
1760421600,199.517,200.57,191.893,195.084,28647922.856035
1760425200,195.084,197.211,193.16,194.216,27409848.90937
1760428800,194.216,196.989,192.717,195.984,31778161.318495
1760432400,195.984,197.458,193.873,194.716,21353176.521065
1760436000,194.716,194.716,190.575,194.175,29351789.259699
1760439600,194.175,197.064,194.027,195.183,32590949.552685
1760443200,195.183,195.252,192.196,193.351,23301408.992956
1760446800,193.351,195.735,191.042,195.089,54625397.042622
1760450400,195.089,199.006,194.334,195.864,42731812.456785
1760454000,195.864,202.701,194.462,202.282,34195077.361531
1760457600,202.282,206.582,199.981,202.577,34834879.129836
1760461200,202.577,204.668,199.378,201.693,19873565.926355
1760464800,201.693,204.17,200.493,201.508,13306301.991525
1760468400,201.508,203.716,196.967,198.42,20805220.141138
1760472000,198.42,200.483,198.069,200.482,17691358.608994
1760475600,200.482,201.457,198.235,201.172,9765858.053342
1760479200,201.172,202.134,200.252,201.411,6035202.157507
1760482800,201.411,203.456,201.405,202.489,15768839.675407
1760486400,202.489,203.979,201.178,203.93,14373582.742616
1760490000,203.93,204.016,201.059,203.7,11789093.155162
1760493600,203.7,205.773,203.015,203.302,10691982.856869
1760497200,203.302,203.624,200.828,201.569,7505217.058371
1760500800,201.569,203.482,200.4,203.401,7166216.130352
1760504400,203.401,204.765,202.752,204.395,7366367.938102
1760508000,204.395,205.301,201.877,204.567,10522179.28893
1760511600,204.567,205.039,203.119,204.532,10713444.817447
1760515200,204.532,208.832,204.351,206.158,17243719.432356
1760518800,206.158,207.351,205.314,205.971,10245074.540737
1760522400,205.971,206.315,203.448,203.871,9388004.486114
1760526000,203.871,204.781,202.0,202.553,10211289.47977
1760529600,202.553,203.617,201.497,202.983,16096473.320206
1760533200,202.983,204.217,198.044,201.032,25881315.29184
1760536800,201.032,204.901,198.275,199.352,37715667.152793996
1760540400,199.352,200.226,196.006,196.917,37722405.281729996
1760544000,196.917,198.729,196.701,197.286,17246340.40231
1760547600,197.286,198.261,195.006,198.168,45918939.219117
1760551200,198.168,198.363,196.19,197.997,29716447.423783
1760554800,197.997,198.126,194.079,194.654,21437170.724346
1760558400,194.654,196.477,192.116,194.086,18373928.793121
1760562000,194.086,195.087,191.852,192.692,27283673.679981
1760565600,192.692,194.483,192.356,193.165,18354831.046955
