timestamp,open,high,low,close,volume
1758906000,0.229452,0.229911,0.228609,0.229615,20362.746487
1758906900,0.229615,0.23177,0.229331,0.231593,366760.81321
1758907800,0.231593,0.23164,0.230395,0.230678,76634.896634
1758908700,0.230678,0.231825,0.230468,0.231701,26589.968789
1758909600,0.231701,0.232384,0.23122,0.232161,49623.402055
1758910500,0.232161,0.233295,0.232161,0.233083,69582.330533
1758911400,0.233083,0.233305,0.232067,0.232306,76004.30930400001
1758912300,0.232306,0.232688,0.231866,0.232371,32179.349105999998
1758913200,0.232371,0.232627,0.231143,0.231545,239227.635739
1758914100,0.231545,0.23226,0.230876,0.230904,32493.791801
1758915000,0.230904,0.231187,0.229848,0.230223,51094.865605
1758915900,0.230223,0.231197,0.230111,0.23104,21729.519916
1758916800,0.23104,0.231534,0.230414,0.23151,145014.436905
1758917700,0.23151,0.231677,0.230582,0.230887,123981.391411
1758918600,0.230887,0.231075,0.230186,0.230213,71220.671604
1758919500,0.230213,0.230793,0.230213,0.230588,7296.592978
1758920400,0.230588,0.230588,0.229937,0.230565,166647.163514
1758921300,0.230565,0.231287,0.229988,0.231279,81074.668682
1758922200,0.231279,0.231653,0.23021,0.230456,170052.073647
1758923100,0.230456,0.23108,0.230393,0.230833,33917.454063
1758924000,0.230833,0.231894,0.230733,0.231893,72557.90315
1758924900,0.231893,0.23227,0.231509,0.231509,76838.19274
1758925800,0.231509,0.231851,0.231421,0.231578,17427.425888
1758926700,0.231578,0.23206,0.231321,0.23136,12669.049993999999
1758927600,0.23136,0.231453,0.230911,0.231074,34455.069408
1758928500,0.231074,0.231733,0.230937,0.23169,20230.512942
1758929400,0.23169,0.232288,0.231675,0.231989,8725.774743
1758930300,0.231989,0.232572,0.231989,0.232296,8263.524968
1758931200,0.232296,0.232455,0.23179,0.231833,92326.48048099998
1758932100,0.231833,0.232674,0.231833,0.23226,88003.956011
1758933000,0.23226,0.232744,0.232115,0.232173,11400.181115
1758933900,0.232173,0.233092,0.231869,0.232861,186604.684245
1758934800,0.232861,0.233054,0.232099,0.232577,18571.263188
1758935700,0.232577,0.23269,0.231414,0.231749,35596.58722
1758936600,0.231749,0.23193,0.231251,0.231774,78153.975632
1758937500,0.231774,0.232253,0.231774,0.232251,31834.597497
1758938400,0.232251,0.232529,0.231744,0.232302,35913.785184
1758939300,0.232302,0.232808,0.231976,0.232342,17472.13595
1758940200,0.232342,0.232854,0.232016,0.232854,11524.426957
1758941100,0.232854,0.233046,0.232219,0.232321,22978.43115
1758942000,0.232321,0.233583,0.232321,0.232636,23653.305711
1758942900,0.232636,0.233943,0.232636,0.23375,41908.470827
1758943800,0.23375,0.234305,0.233656,0.233889,31515.575257
1758944700,0.233889,0.234063,0.233397,0.233524,39356.408964
1758945600,0.233524,0.233964,0.233103,0.233334,11584.463655
1758946500,0.233334,0.233747,0.233248,0.233747,39548.796575
1758947400,0.233747,0.233846,0.233,0.233172,22375.353048
1758948300,0.233172,0.233314,0.232866,0.233156,17435.265473
1758949200,0.233156,0.233302,0.232244,0.232523,34369.057565
1758950100,0.232523,0.232578,0.231964,0.231964,12391.147627
1758951000,0.231964,0.232732,0.231957,0.232706,14662.823493
1758951900,0.232706,0.233084,0.232545,0.232653,12591.737623
1758952800,0.232653,0.232812,0.232082,0.232342,44317.511324
1758953700,0.232342,0.232342,0.2315,0.231528,41352.7431
1758954600,0.231528,0.231675,0.231077,0.231332,94045.631079
1758955500,0.231332,0.231731,0.231182,0.231562,29689.912783
1758956400,0.231562,0.232013,0.231465,0.231597,17751.122892
1758957300,0.231597,0.231828,0.231066,0.231076,19770.090001
1758958200,0.231076,0.231252,0.23065,0.230718,58288.699022
1758959100,0.230718,0.231073,0.230483,0.231072,50824.089298
1758960000,0.231072,0.231072,0.2296,0.23027,76134.388286
1758960900,0.23027,0.230571,0.229893,0.230571,42347.855201
1758961800,0.230571,0.230571,0.230008,0.230134,41539.471742
1758962700,0.230134,0.230224,0.229304,0.229609,94439.655896
1758963600,0.229609,0.229806,0.228462,0.228878,107710.62580299999
1758964500,0.228878,0.229148,0.228459,0.228587,136032.74671
1758965400,0.228587,0.229763,0.22851,0.22957,27245.728356
1758966300,0.22957,0.230069,0.229483,0.229823,7421.312541
1758967200,0.229823,0.229958,0.229523,0.229711,8444.231332
1758968100,0.229711,0.229891,0.229234,0.229428,12239.076161
1758969000,0.229428,0.230732,0.229363,0.230271,100015.414116
1758969900,0.230271,0.230603,0.229991,0.230129,12369.528163
1758970800,0.230129,0.230303,0.229881,0.22995,11402.095142
1758971700,0.22995,0.230507,0.2299,0.230444,21663.161678
1758972600,0.230444,0.230502,0.229956,0.23001,14401.716151
1758973500,0.23001,0.230068,0.229313,0.229891,301079.42939999996
1758974400,0.229891,0.230109,0.229276,0.229504,22680.627235
1758975300,0.229504,0.229813,0.229249,0.229376,18746.520683
1758976200,0.229376,0.230094,0.229235,0.230003,8115.33556
1758977100,0.230003,0.230863,0.229993,0.230645,52110.304492
1758978000,0.230645,0.230645,0.23011,0.23011,131796.05997400003
1758978900,0.23011,0.230442,0.230022,0.230153,25799.660273
1758979800,0.230153,0.230656,0.229967,0.230559,29083.696142
1758980700,0.230559,0.230725,0.230247,0.230259,37660.597482
1758981600,0.230259,0.230598,0.229921,0.230249,13522.611447
1758982500,0.230249,0.230621,0.229937,0.230165,227922.06038300003
1758983400,0.230165,0.230253,0.229841,0.229913,65658.334149
1758984300,0.229913,0.229913,0.229123,0.229322,24061.967793
1758985200,0.229322,0.229322,0.227806,0.228521,157365.261364
1758986100,0.228521,0.229219,0.228521,0.229145,44024.545393
1758987000,0.229145,0.229705,0.228998,0.229495,43367.976189
1758987900,0.229495,0.230357,0.229435,0.230091,185824.877174
1758988800,0.230091,0.230278,0.229508,0.229856,47771.354146
1758989700,0.229856,0.23017,0.229408,0.229753,18703.113547
1758990600,0.229753,0.230489,0.229517,0.230071,19608.152232
1758991500,0.230071,0.230248,0.229177,0.229333,133524.635933
1758992400,0.229333,0.22938,0.22852,0.228546,40449.050287
1758993300,0.228546,0.228585,0.227782,0.228386,68565.349118
1758994200,0.228386,0.229124,0.228294,0.22879,97203.51186
1758995100,0.22879,0.229069,0.228334,0.229065,18545.039111000002
1758996000,0.229065,0.22915,0.228549,0.228718,39158.661795
1758996900,0.228718,0.229121,0.228586,0.229114,23575.288703
1758997800,0.229114,0.22918,0.228395,0.228542,10746.236727
1758998700,0.228542,0.229389,0.228477,0.229365,30254.981514
1758999600,0.229365,0.22957,0.22904,0.229113,23654.590272
1759000500,0.229113,0.2296,0.229045,0.229587,27288.716258
1759001400,0.229587,0.229587,0.229,0.229172,54733.677585
1759002300,0.229172,0.229937,0.229121,0.22982,20522.187723
1759003200,0.22982,0.230085,0.229533,0.22972,13237.96069
1759004100,0.22972,0.22972,0.229316,0.229649,18984.150265
1759005000,0.229649,0.230035,0.229451,0.22959,61592.351232
1759005900,0.22959,0.229674,0.229313,0.22961,10605.16901
1759006800,0.22961,0.229864,0.229391,0.229858,19498.226721
1759007700,0.229858,0.230037,0.229672,0.229982,12974.581636
