timestamp,open,high,low,close,volume
1758605100,216.516,216.898,216.424,216.728,795448.186834
1758605400,216.728,217.44,216.728,217.44,586735.432086
1758605700,217.44,217.559,217.116,217.475,719258.999171
1758606000,217.475,217.789,217.406,217.637,1461774.387871
1758606300,217.637,217.847,217.352,217.377,1205042.9768909998
1758606600,217.377,217.515,216.985,217.216,703862.879837
1758606900,217.216,217.299,216.909,216.944,546478.593048
1758607200,216.944,217.402,216.919,217.009,814898.9784179999
1758607500,217.009,218.207,216.956,218.154,685853.745777
1758607800,218.154,218.575,218.052,218.079,1008263.0288020001
1758608100,218.079,218.333,217.997,218.242,364338.291182
1758608400,218.242,218.613,218.163,218.5,992041.268064
1758608700,218.5,218.835,218.363,218.756,646347.800278
1758609000,218.756,219.388,218.676,219.38,481258.503705
1758609300,219.38,220.319,218.908,219.001,3838761.8081469997
1758609600,219.001,219.596,218.507,219.361,1681500.3814680001
1758609900,219.361,219.597,218.865,219.449,755649.329703
1758610200,219.449,219.529,218.867,219.054,837849.451904
1758610500,219.054,219.428,218.997,219.174,318523.766987
1758610800,219.174,219.263,218.815,218.9,998330.3130890001
1758611100,218.9,219.356,218.689,218.895,556469.988404
1758611400,218.895,219.359,218.793,218.975,940849.602703
1758611700,218.975,219.176,218.59,219.114,911740.587834
1758612000,219.114,219.511,219.058,219.279,991684.081639
1758612300,219.279,219.357,218.908,218.923,518320.132875
1758612600,218.923,219.187,218.633,219.071,476591.295028
1758612900,219.071,219.372,218.95,219.031,782287.780515
1758613200,219.031,219.128,218.779,218.951,664143.9370350001
1758613500,218.951,219.307,218.926,219.096,873032.02555
1758613800,219.096,219.301,218.837,218.937,702637.1359100001
1758614100,218.937,219.227,218.905,218.992,593004.833322
1758614400,218.992,219.466,218.772,218.789,786571.541193
1758614700,218.789,219.305,218.465,219.112,729653.939961
1758615000,219.112,219.25,218.78,219.074,568795.71795
1758615300,219.074,219.875,219.048,219.748,936730.4484550001
1758615600,219.748,219.956,219.33,219.93,567823.747141
1758615900,219.93,220.223,219.807,220.007,946265.129707
1758616200,220.007,220.099,219.718,219.903,880763.744081
1758616500,219.903,220.344,219.811,220.136,627295.852975
1758616800,220.136,220.329,220.031,220.231,701314.930127
1758617100,220.231,220.296,219.928,220.031,527567.618229
1758617400,220.031,220.157,219.778,219.997,1048946.109393
1758617700,219.997,220.259,219.957,220.091,743682.149977
1758618000,220.091,220.163,219.703,219.771,818230.9048670001
