timestamp,open,high,low,close,volume
1760256000,0.189836,0.19063,0.188729,0.188769,305056.33758
1760259600,0.188769,0.189672,0.186997,0.18941,749027.351724
1760263200,0.18941,0.190445,0.188487,0.188764,546792.720085
1760266800,0.188764,0.189914,0.188368,0.188742,701770.392053
1760270400,0.188742,0.19063,0.188513,0.189829,224589.565025
1760274000,0.189829,0.190518,0.186211,0.18676,1004565.006535
1760277600,0.18676,0.199816,0.18676,0.195933,1408099.550952
1760281200,0.195933,0.206694,0.195793,0.205255,1304176.046299
1760284800,0.205255,0.209483,0.20426,0.206603,1684313.505585
1760288400,0.206603,0.208132,0.205601,0.206593,600726.218984
1760292000,0.206593,0.20916,0.206027,0.207566,341538.782934
1760295600,0.207566,0.210574,0.207452,0.210232,408873.192916
1760299200,0.210232,0.214164,0.209212,0.210737,581382.558582
1760302800,0.210737,0.211612,0.20483,0.206715,810311.259101
1760306400,0.206715,0.208777,0.206413,0.207608,331478.958725
1760310000,0.207608,0.208104,0.205786,0.207111,415767.36716
1760313600,0.207111,0.208715,0.20489,0.206446,372241.181509
1760317200,0.206446,0.209416,0.205524,0.209256,808544.752243
1760320800,0.209256,0.209932,0.206461,0.20878,590138.318145
1760324400,0.20878,0.209702,0.206668,0.207148,419219.186384
1760328000,0.207148,0.209906,0.206593,0.20943,427852.077176
1760331600,0.20943,0.209892,0.207238,0.207722,526162.07101
1760335200,0.207722,0.21133,0.206306,0.210468,403568.109586
1760338800,0.210468,0.212803,0.209136,0.209888,541774.712152
1760342400,0.209888,0.212834,0.209323,0.212336,289202.447214
1760346000,0.212336,0.212576,0.210027,0.211489,250451.951782
1760349600,0.211489,0.211519,0.208809,0.209977,397471.793038
1760353200,0.209977,0.210118,0.202015,0.205719,1072153.031605
1760356800,0.205719,0.207975,0.204575,0.205841,774478.486955
1760360400,0.205841,0.212974,0.205326,0.211512,1330404.052626
1760364000,0.211512,0.211667,0.205371,0.206259,279258.955856
1760367600,0.206259,0.211038,0.206155,0.21005,240032.629165
1760371200,0.21005,0.211778,0.208468,0.210663,633135.201105
1760374800,0.210663,0.21448,0.210321,0.214175,279008.114205
1760378400,0.214175,0.216088,0.212422,0.213924,344160.945044
1760382000,0.213924,0.217131,0.213604,0.215906,444616.23155699996
1760385600,0.215906,0.218524,0.2159,0.218169,315395.823651
1760389200,0.218169,0.218333,0.215343,0.215476,241110.49141699998
1760392800,0.215476,0.216105,0.214656,0.215427,137554.811167
1760396400,0.215427,0.215427,0.213674,0.213905,202874.20538
1760400000,0.213905,0.215671,0.213126,0.214361,189315.827459
1760403600,0.214361,0.21449,0.211434,0.211908,159851.118689
1760407200,0.211908,0.212041,0.20877,0.209013,320875.005336
1760410800,0.209013,0.209062,0.206655,0.207879,149210.855163
1760414400,0.207879,0.208347,0.204167,0.205211,190435.722498
1760418000,0.205211,0.206845,0.201772,0.203426,440316.382795
1760421600,0.203426,0.204468,0.194989,0.198775,804316.436869
1760425200,0.198775,0.199999,0.196758,0.197818,667283.132903
1760428800,0.197818,0.201533,0.196666,0.199691,360766.496955
1760432400,0.199691,0.201094,0.198687,0.199792,285506.317904
1760436000,0.199792,0.199792,0.19444,0.197488,426281.391129
1760439600,0.197488,0.200251,0.197195,0.199119,147224.05881699998
1760443200,0.199119,0.199133,0.195809,0.196029,168782.788912
1760446800,0.196029,0.199166,0.193508,0.198141,730568.729775
1760450400,0.198141,0.201667,0.1975,0.198895,404136.542239
1760454000,0.198895,0.203734,0.197949,0.203531,296166.563187
1760457600,0.203531,0.206481,0.201957,0.20295,533460.384761
1760461200,0.20295,0.204886,0.200152,0.203387,527367.252431
1760464800,0.203387,0.205242,0.203015,0.203736,184847.849002
1760468400,0.203736,0.205466,0.200357,0.203136,371816.527627
1760472000,0.203136,0.204249,0.202015,0.203884,132940.52043
1760475600,0.203884,0.204164,0.202105,0.203494,120367.511092
1760479200,0.203494,0.205,0.203076,0.203734,186002.980826
1760482800,0.203734,0.20518,0.203665,0.204304,533570.892795
1760486400,0.204304,0.204902,0.202634,0.204496,371332.588954
1760490000,0.204496,0.204593,0.202211,0.204053,259992.373303
1760493600,0.204053,0.206761,0.203846,0.204796,172739.655632
1760497200,0.204796,0.2051,0.201419,0.202501,202083.585752
1760500800,0.202501,0.204254,0.201699,0.204043,185111.822196
1760504400,0.204043,0.204791,0.202738,0.203982,208018.091254
1760508000,0.203982,0.204631,0.201729,0.204435,281130.726106
1760511600,0.204435,0.205,0.203432,0.204748,139712.247144
1760515200,0.204748,0.208362,0.204407,0.206046,797159.147335
1760518800,0.206046,0.206046,0.203211,0.203887,995615.026952
1760522400,0.203887,0.204363,0.202367,0.202802,963418.767225
1760526000,0.202802,0.203452,0.200683,0.202167,861075.60977
1760529600,0.202167,0.202762,0.20045,0.201757,986721.352012
1760533200,0.201757,0.202344,0.197169,0.200727,775734.069572
