timestamp,open,high,low,close,volume
1760986800,4367.28,4384.43,4363.66,4379.99,267070.950062
1760990400,4379.99,4383.99,4348.5,4361.43,1037952.382329
1760994000,4361.43,4365.0,4353.46,4357.07,151789.040738
1760997600,4357.07,4381.8,4354.47,4367.77,412213.239365
1761001200,4367.77,4372.03,4356.63,4359.0,342132.796699
1761004800,4359.0,4379.62,4355.9,4369.44,489720.567479
1761008400,4369.44,4370.98,4339.65,4350.19,350975.195287
1761012000,4350.19,4360.34,4342.48,4345.99,432942.451505
1761015600,4345.99,4354.09,4340.36,4344.63,610289.44758
1761019200,4344.63,4347.0,4336.31,4342.66,263983.138227
1761022800,4342.66,4342.78,4305.5,4322.76,822698.619715
1761026400,4322.76,4346.96,4316.0,4343.58,347201.054033
1761030000,4343.58,4345.44,4296.56,4304.55,377500.546482
1761033600,4304.55,4305.66,4250.82,4275.16,773053.910561
1761037200,4275.16,4279.29,4256.17,4260.75,647948.849278
1761040800,4260.75,4267.59,4240.1,4254.9,744258.901062
1761044400,4254.9,4270.97,4243.91,4250.46,525292.030677
1761048000,4250.46,4255.33,4180.51,4212.47,909591.076347
1761051600,4212.47,4227.3,4171.26,4179.22,843817.769851
1761055200,4179.22,4192.46,4122.05,4142.66,2977929.943631
1761058800,4142.66,4154.4,4122.25,4137.48,1483918.51998
1761062400,4137.48,4140.92,4107.0,4121.07,1126384.381588
1761066000,4121.07,4129.24,4104.89,4111.69,523042.589569
1761069600,4111.69,4126.9,4108.78,4117.38,556832.514601
1761073200,4117.38,4124.73,4101.85,4107.52,516324.438428
1761076800,4107.52,4133.8,4105.48,4127.05,726038.741538
1761080400,4127.05,4131.23,4127.01,4131.23,77574.408419
1761084000,4131.23,4138.03,4117.16,4128.42,200062.952056
1761087600,4128.42,4134.0,4090.69,4092.96,324665.969254
1761091200,4092.96,4095.89,4005.24,4082.0,616125.66256
1761094800,4082.0,4120.05,4072.35,4084.19,475984.833263
1761098400,4084.19,4118.06,4084.19,4115.65,290735.531929
1761102000,4115.65,4146.96,4107.49,4134.97,211256.82755
1761105600,4134.97,4138.09,4113.13,4130.87,100813.122376
1761109200,4130.87,4147.0,4128.69,4136.61,207451.332412
1761112800,4136.61,4163.29,4129.66,4156.95,28139.122746
1761116400,4156.95,4157.58,4130.92,4133.63,82366.506823
1761120000,4133.63,4136.96,4055.46,4072.84,399392.800682
1761123600,4072.84,4102.72,4065.18,4073.72,636176.231616
1761127200,4073.72,4093.69,4032.33,4043.61,592716.043559
1761130800,4043.61,4048.9,4017.82,4027.55,593153.589873
