symbol,timeframe,rsi_period,oversold,overbought,ema_filter,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor
XAU,15m,14,20,85,True,0.02,0.04,8,7,1,87.5,25.147,12.9463
XAU,15m,14,25,85,True,0.02,0.04,8,7,1,87.5,25.147,12.9463
XAU,1h,7,30,75,True,0.03,0.06,7,6,1,85.71,32.2505,11.3783
XAU,1h,7,30,70,True,0.03,0.06,7,6,1,85.71,32.2505,11.3783
XAU,1h,7,30,80,True,0.03,0.06,7,6,1,85.71,32.2505,11.3783
XAU,15m,14,10,85,True,0.02,0.04,7,6,1,85.71,21.255,11.0974
XAU,15m,14,15,85,True,0.02,0.04,7,6,1,85.71,21.255,11.0974
XAU,15m,14,25,90,True,0.02,0.04,7,6,1,85.71,21.251,11.0955
XAU,15m,14,20,90,True,0.02,0.04,7,6,1,85.71,21.251,11.0955
XAU,1h,7,10,75,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,5,15,85,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,5,15,90,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,5,10,90,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,5,10,85,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,7,15,80,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,7,10,70,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,7,15,75,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,7,15,70,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,7,10,80,True,0.03,0.06,6,5,1,83.33,26.3595,9.4825
XAU,1h,7,30,85,True,0.03,0.06,6,5,1,83.33,26.3535,9.4806
XAU,1h,7,30,90,True,0.03,0.06,6,5,1,83.33,26.3535,9.4806
XAU,15m,14,10,90,True,0.02,0.04,6,5,1,83.33,17.359,9.2466
XAU,15m,14,15,90,True,0.02,0.04,6,5,1,83.33,17.359,9.2466
XAU,1h,14,30,80,True,0.02,0.04,6,5,1,83.33,17.355,9.2447
XAU,1h,14,30,85,True,0.02,0.04,6,5,1,83.33,17.355,9.2447
XAU,1h,14,30,90,True,0.02,0.04,6,5,1,83.33,17.355,9.2447
XAU,1h,7,25,80,True,0.02,0.04,12,10,2,83.33,34.72,9.2431
XAU,1h,5,20,85,True,0.02,0.04,12,10,2,83.33,34.72,9.2431
XAU,1h,5,20,90,True,0.02,0.04,12,10,2,83.33,34.72,9.2431
XAU,1h,7,20,70,True,0.02,0.04,12,10,2,83.33,34.722,9.2397
AVAX,5m,14,10,85,True,0.015,0.03,6,5,1,83.33,12.8693,9.017
XAU,1h,7,20,75,True,0.015,0.03,12,10,2,83.33,25.7205,9.0039
XAU,1h,7,20,75,True,0.02,0.04,11,9,2,81.82,30.826,8.3151
XAU,1h,7,25,90,True,0.015,0.03,11,9,2,81.82,22.828,8.1104
XAU,1h,7,25,85,True,0.015,0.03,11,9,2,81.82,22.828,8.1104
AVAX,5m,14,10,85,True,0.03,0.06,5,4,1,80.0,20.4775,7.5961
XAU,1h,7,10,85,True,0.03,0.06,5,4,1,80.0,20.4625,7.5849
XAU,1h,7,15,90,True,0.03,0.06,5,4,1,80.0,20.4625,7.5849
XAU,1h,7,10,90,True,0.03,0.06,5,4,1,80.0,20.4625,7.5849
XAU,1h,7,15,85,True,0.03,0.06,5,4,1,80.0,20.4625,7.5849
XAU,1h,14,30,70,True,0.03,0.06,5,4,1,80.0,20.4625,7.5849
XAU,1h,14,30,75,True,0.03,0.06,5,4,1,80.0,20.4625,7.5849
AVAX,5m,14,10,85,True,0.02,0.04,5,4,1,80.0,13.475,7.4014
XAU,15m,14,25,85,True,0.015,0.03,10,8,2,80.0,19.9355,7.2095
SOL,5m,14,10,85,True,0.015,0.03,5,4,1,80.0,9.9723,7.2065
XAU,1h,7,25,70,True,0.02,0.04,14,11,3,78.57,36.509,6.7777
XAU,1h,5,20,80,True,0.015,0.03,14,11,3,78.57,27.0108,6.6053
XAU,1h,5,20,85,True,0.015,0.03,14,11,3,78.57,27.0108,6.6053
XAU,1h,5,20,90,True,0.015,0.03,14,11,3,78.57,27.0108,6.6053
XAU,1h,5,20,75,True,0.015,0.03,14,11,3,78.57,27.0108,6.6053
XAU,1h,7,20,80,True,0.015,0.03,14,11,3,78.57,27.0108,6.6053
XAU,1h,7,20,70,True,0.015,0.03,14,11,3,78.57,27.0093,6.6033
XAU,1h,7,15,85,True,0.02,0.04,9,7,2,77.78,23.04,6.4701
XAU,1h,7,10,90,True,0.02,0.04,9,7,2,77.78,23.04,6.4701
XAU,1h,7,10,85,True,0.02,0.04,9,7,2,77.78,23.04,6.4701
XAU,1h,7,15,90,True,0.02,0.04,9,7,2,77.78,23.04,6.4701
XAU,15m,14,20,85,True,0.015,0.03,9,7,2,77.78,17.043,6.3085
XAU,15m,14,25,90,True,0.015,0.03,9,7,2,77.78,17.04,6.3076
XAU,1h,5,20,80,True,0.02,0.04,13,10,3,76.92,32.613,6.1611
XAU,1h,7,25,75,True,0.02,0.04,13,10,3,76.92,32.613,6.1611
XAU,1h,7,25,75,True,0.015,0.03,13,10,3,76.92,24.1153,6.0045
XAU,1h,5,25,75,True,0.015,0.03,17,13,4,76.47,31.1935,5.8558
XAU,1h,5,25,80,True,0.015,0.03,17,13,4,76.47,31.1935,5.8558
XAU,1h,5,30,80,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,5,30,85,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,5,25,85,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,3,10,75,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,3,10,85,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,3,15,80,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,3,10,80,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,5,30,90,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,5,30,75,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,5,25,80,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,5,25,90,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,3,10,90,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,5,25,75,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,3,15,90,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,3,15,75,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,3,15,85,True,0.03,0.06,8,6,2,75.0,29.146,5.6919
XAU,1h,14,15,70,True,0.03,0.06,4,3,1,75.0,14.5715,5.6891
XAU,1h,14,20,75,True,0.03,0.06,4,3,1,75.0,14.5715,5.6891
XAU,1h,14,15,75,True,0.03,0.06,4,3,1,75.0,14.5715,5.6891
XAU,1h,14,25,75,True,0.03,0.06,4,3,1,75.0,14.5715,5.6891
XAU,1h,14,25,70,True,0.03,0.06,4,3,1,75.0,14.5715,5.6891
XAU,1h,14,20,70,True,0.03,0.06,4,3,1,75.0,14.5715,5.6891
XAU,1h,7,30,90,True,0.02,0.04,12,9,3,75.0,28.719,5.5463
XAU,1h,7,30,85,True,0.02,0.04,12,9,3,75.0,28.719,5.5463
SOL,5m,14,10,85,True,0.02,0.04,4,3,1,75.0,9.577,5.5453
XAU,15m,14,15,85,True,0.015,0.03,8,6,2,75.0,14.1505,5.4076
XAU,15m,14,10,85,True,0.015,0.03,8,6,2,75.0,14.1505,5.4076
SOL,5m,14,15,90,True,0.015,0.03,8,6,2,75.0,14.1505,5.4076
XAU,15m,14,20,90,True,0.015,0.03,8,6,2,75.0,14.1475,5.4066
XAU,1h,5,25,85,True,0.015,0.03,16,12,4,75.0,28.298,5.405
XAU,1h,5,25,90,True,0.015,0.03,16,12,4,75.0,28.298,5.405
XAU,1h,7,25,80,True,0.015,0.03,15,11,4,73.33,25.4055,4.9548
XAU,1h,5,20,70,True,0.015,0.03,15,11,4,73.33,25.404,4.9536
XAU,1h,7,25,70,True,0.015,0.03,15,11,4,73.33,25.404,4.9536
AVAX,5m,14,20,85,True,0.02,0.04,11,8,3,72.73,24.833,4.9324
XAU,1h,5,15,90,True,0.02,0.04,11,8,3,72.73,24.829,4.9293
XAU,1h,5,10,85,True,0.02,0.04,11,8,3,72.73,24.829,4.9293
XAU,1h,5,10,90,True,0.02,0.04,11,8,3,72.73,24.829,4.9293
XAU,1h,7,15,80,True,0.02,0.04,11,8,3,72.73,24.829,4.9293
XAU,1h,5,15,85,True,0.02,0.04,11,8,3,72.73,24.829,4.9293
XAU,1h,7,10,80,True,0.02,0.04,11,8,3,72.73,24.829,4.9293
AVAX,5m,14,15,85,True,0.03,0.06,7,5,2,71.43,23.264,4.7468
XAU,1h,5,20,90,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,7,25,70,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,7,25,75,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,5,20,75,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,7,25,80,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,5,20,80,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,7,20,75,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,5,20,85,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,7,20,70,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,7,20,80,True,0.03,0.06,7,5,2,71.43,23.255,4.7436
XAU,1h,5,30,70,True,0.03,0.06,7,5,2,71.43,23.249,4.7426
XAU,1h,5,25,70,True,0.03,0.06,7,5,2,71.43,23.249,4.7426
XAU,1h,5,15,80,True,0.03,0.06,7,5,2,71.43,23.252,4.7413
XAU,1h,5,10,70,True,0.03,0.06,7,5,2,71.43,23.252,4.7413
XAU,1h,5,15,75,True,0.03,0.06,7,5,2,71.43,23.252,4.7413
XAU,1h,5,10,75,True,0.03,0.06,7,5,2,71.43,23.252,4.7413
XAU,1h,5,10,80,True,0.03,0.06,7,5,2,71.43,23.252,4.7413
XAU,1h,5,15,70,True,0.03,0.06,7,5,2,71.43,23.252,4.7413
XAU,1h,5,25,70,True,0.015,0.03,18,13,5,72.22,29.5868,4.6842
SOL,5m,14,15,90,True,0.02,0.04,7,5,2,71.43,15.254,4.6233
XAU,1h,5,25,85,True,0.02,0.04,14,10,4,71.43,30.508,4.6216
XAU,1h,5,25,90,True,0.02,0.04,14,10,4,71.43,30.508,4.6216
XAU,1h,5,30,85,True,0.02,0.04,14,10,4,71.43,30.508,4.6216
XAU,1h,7,30,80,True,0.02,0.04,14,10,4,71.43,30.508,4.6216
XAU,1h,5,20,75,True,0.02,0.04,14,10,4,71.43,30.506,4.6205
XAU,15m,14,15,90,True,0.015,0.03,7,5,2,71.43,11.255,4.5057
XAU,15m,14,10,90,True,0.015,0.03,7,5,2,71.43,11.255,4.5057
SOL,5m,14,15,85,True,0.015,0.03,10,7,3,70.0,15.4393,4.205
XAU,1h,7,10,70,True,0.02,0.04,13,9,4,69.23,26.618,4.159
XAU,1h,7,15,70,True,0.02,0.04,13,9,4,69.23,26.618,4.159
XAU,1h,7,30,70,True,0.02,0.04,16,11,5,68.75,32.297,4.0669
XAU,1h,5,30,75,True,0.015,0.03,19,13,6,68.42,27.9815,3.9039
