symbol,timeframe,ema_fast,ema_slow,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor,max_drawdown,sharpe,avg_win,avg_loss
SOL,1h,5,50,0.03,0.06,72,21,51,0.2917,-0.346305,0.7814,0.54469,-1.5114,0.058944,-0.031061
AVAX,15m,21,50,0.02,0.04,165,49,116,0.297,-0.53466,0.7812,0.6229,-2.1945,0.038947,-0.021061
SOL,15m,5,100,0.015,0.03,288,87,201,0.3021,-0.710167,0.78,0.81333,-2.9274,0.028945,-0.016061
DOGE,5m,13,21,0.02,0.04,236,70,166,0.2966,-0.77006,0.7797,0.78998,-2.618,0.038943,-0.021061
DOGE,1h,21,50,0.03,0.06,79,23,56,0.2911,-0.38362,0.7795,0.48884,-1.5991,0.058949,-0.031062
AVAX,15m,5,100,0.02,0.04,172,51,121,0.2965,-0.56219,0.7794,0.67468,-2.261,0.038947,-0.021062
AVAX,5m,13,100,0.03,0.06,110,32,78,0.2909,-0.53636,0.7786,0.69737,-1.7906,0.058951,-0.031062
SOL,1h,21,34,0.015,0.03,199,60,139,0.3015,-0.495767,0.7779,0.576287,-2.5782,0.028942,-0.01606
SOL,5m,13,100,0.03,0.06,117,34,83,0.2906,-0.573945,0.7774,0.82488,-1.8586,0.058945,-0.031061
AVAX,5m,8,50,0.02,0.04,220,65,155,0.2955,-0.73295,0.7755,0.88955,-2.5836,0.038946,-0.021061
AVAX,15m,21,100,0.015,0.03,256,77,179,0.3008,-0.646172,0.7752,0.810682,-2.8286,0.028945,-0.016061
DOGE,5m,8,34,0.02,0.04,237,70,167,0.2954,-0.79113,0.7751,0.81105,-2.6873,0.038942,-0.02106
DOGE,15m,8,34,0.02,0.04,193,57,136,0.2953,-0.64438,0.775,0.7421,-2.4495,0.038945,-0.02106
AVAX,5m,5,50,0.02,0.04,224,66,158,0.2946,-0.75716,0.7725,0.89591,-2.6471,0.038946,-0.021061
SOL,15m,5,34,0.03,0.06,90,26,64,0.2889,-0.45525,0.771,0.653575,-1.7005,0.058947,-0.03106
AVAX,5m,21,34,0.02,0.04,221,65,156,0.2941,-0.75404,0.7705,0.82765,-2.6555,0.038945,-0.021061
SOL,1h,21,34,0.02,0.04,136,40,96,0.2941,-0.46408,0.7704,0.55671,-2.2054,0.038939,-0.021059
AVAX,5m,21,100,0.02,0.04,225,66,159,0.2933,-0.77837,0.7676,0.80775,-2.7188,0.038945,-0.021061
SOL,5m,13,100,0.015,0.03,349,104,245,0.298,-0.924857,0.765,0.963535,-3.4429,0.028942,-0.016061
DOGE,15m,13,100,0.03,0.06,94,27,67,0.2872,-0.489445,0.7648,0.607265,-1.7918,0.05895,-0.031061
