symbol,timeframe,bb_period,bb_std,rsi_confirm,adx_filter,tp_type,sl_pct,trades,win_rate,total_pnl,profit_factor
SOL,5m,20,1.5,None,ADX<35,3%,2.0%,222,0.3963963963963964,-0.27513999999998795,0.9025010808014272
SOL,5m,20,1.5,None,ADX<35,3%,3.0%,165,0.48484848484848486,-0.3248549999999913,0.8769514271483012
SOL,5m,20,1.5,RSI(14)<30/>70,None,mid_bb,1.5%,361,0.5013850415512465,-0.38056218352723525,0.868341728497114
SOL,5m,20,1.5,RSI(14)<30/>70,None,mid_bb,2.0%,290,0.5758620689655173,-0.09674747534709217,0.9626476372432692
SOL,5m,20,1.5,RSI(14)<30/>70,None,mid_bb,3.0%,195,0.6256410256410256,0.2837858890218561,1.12517434593234
SOL,5m,20,1.5,RSI(14)<30/>70,None,1%,1.5%,414,0.5772946859903382,-0.6737274999999721,0.7602608662388967
SOL,5m,20,1.5,RSI(14)<30/>70,None,1%,2.0%,356,0.6264044943820225,-0.8072749999999822,0.7117626475954545
SOL,5m,20,1.5,RSI(14)<30/>70,None,1%,3.0%,291,0.7319587628865979,-0.5182549999999839,0.7860527999669806
SOL,5m,20,1.5,RSI(14)<30/>70,None,2%,1.5%,324,0.42592592592592593,-0.37337999999997445,0.8749949781045436
SOL,5m,20,1.5,RSI(14)<30/>70,None,2%,2.0%,275,0.5054545454545455,-0.23150999999998648,0.919164373804108
SOL,5m,20,1.5,RSI(14)<30/>70,None,2%,3.0%,210,0.6142857142857143,-0.0725549999999893,0.9711587194638438
SOL,5m,20,1.5,RSI(14)<30/>70,None,3%,1.5%,253,0.34782608695652173,-0.1030074999999809,0.9611243674913998
SOL,5m,20,1.5,RSI(14)<30/>70,None,3%,2.0%,212,0.4009433962264151,-0.21455499999999045,0.9197748288407571
SOL,5m,20,1.5,RSI(14)<30/>70,None,3%,3.0%,159,0.5220125786163522,0.04159500000000711,1.0176223865104783
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,mid_bb,1.5%,166,0.5180722891566265,-0.20028914171879242,0.8440959591819122
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,mid_bb,2.0%,156,0.5576923076923077,-0.3819842330701213,0.737104706109387
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,mid_bb,3.0%,130,0.6615384615384615,-0.13623381719522912,0.9003038315719625
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,1%,1.5%,169,0.5798816568047337,-0.2640774999999881,0.7683769436045063
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,1%,2.0%,158,0.6012658227848101,-0.47738499999999146,0.6401412644449361
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,1%,3.0%,145,0.7241379310344828,-0.30357499999999127,0.7556130704642673
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,2%,1.5%,141,0.3900709219858156,-0.33958499999998903,0.7541118927197028
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,2%,2.0%,129,0.4263565891472868,-0.5167499999999936,0.6683801162835507
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,2%,3.0%,106,0.5660377358490566,-0.2923499999999944,0.795351930278958
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,3%,1.5%,125,0.288,-0.38768749999999014,0.7287433246281702
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,3%,2.0%,114,0.32456140350877194,-0.5508949999999941,0.6602454593111134
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<25,3%,3.0%,93,0.4946236559139785,-0.12859499999999605,0.9118986040935201
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,mid_bb,1.5%,282,0.5212765957446809,-0.35322595382150346,0.8370685782388115
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,mid_bb,2.0%,247,0.5870445344129555,-0.28136394066260667,0.8690051023499202
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,mid_bb,3.0%,186,0.6720430107526881,-0.004222488834472293,0.9977711444473917
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,1%,1.5%,290,0.5655172413793104,-0.5572899999999784,0.7245788050864722
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,1%,2.0%,265,0.6226415094339622,-0.6307349999999862,0.7004744085327117
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,1%,3.0%,226,0.7256637168141593,-0.45942999999998735,0.7613982788975454
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,2%,1.5%,228,0.4298245614035088,-0.23165499999998157,0.8890379102311483
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,2%,2.0%,206,0.49514563106796117,-0.25829999999998954,0.8820591028638266
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,2%,3.0%,165,0.6181818181818182,-0.02485499999999005,0.98729693884592
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,3%,1.5%,186,0.3548387096774194,-0.0170999999999852,0.9911264711376875
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,3%,2.0%,162,0.41975308641975306,-0.011599999999992228,0.9941398159093934
SOL,5m,20,1.5,RSI(14)<30/>70,ADX<35,3%,3.0%,129,0.5503875968992248,0.2533350000000062,1.1406447780417972
SOL,5m,20,1.5,RSI(14)<25/>75,None,mid_bb,1.5%,207,0.4057971014492754,-0.48946745911687345,0.7521944104015015
SOL,5m,20,1.5,RSI(14)<25/>75,None,mid_bb,2.0%,178,0.48314606741573035,-0.34573905154237466,0.8215374581677909
SOL,5m,20,1.5,RSI(14)<25/>75,None,mid_bb,3.0%,131,0.5954198473282443,0.3689272568229676,1.2241417637924294
SOL,5m,20,1.5,RSI(14)<25/>75,None,1%,1.5%,241,0.5311203319502075,-0.6703974999999817,0.630567307785043
SOL,5m,20,1.5,RSI(14)<25/>75,None,1%,2.0%,219,0.589041095890411,-0.74207499999999,0.6084615465788745
SOL,5m,20,1.5,RSI(14)<25/>75,None,1%,3.0%,197,0.7614213197969543,-0.11865499999998888,0.918706901572019
SOL,5m,20,1.5,RSI(14)<25/>75,None,2%,1.5%,213,0.39436619718309857,-0.48065749999998303,0.7679773701213748
SOL,5m,20,1.5,RSI(14)<25/>75,None,2%,2.0%,191,0.4397905759162304,-0.662409999999992,0.7060254117312942
SOL,5m,14,2.0,None,ADX<25,2%,3.0%,172,0.5755813953488372,-0.39231499999999236,0.8269731604748276
SOL,5m,14,2.0,None,ADX<25,3%,1.5%,202,0.3217821782178218,-0.31912749999998097,0.8549560553810219
SOL,5m,14,2.0,None,ADX<25,3%,2.0%,181,0.3701657458563536,-0.46193499999999177,0.8075944252844869
SOL,5m,14,2.0,None,ADX<25,3%,3.0%,132,0.4621212121212121,-0.4398899999999941,0.8005228515133471
SOL,5m,14,2.0,None,ADX<35,mid_bb,1.5%,611,0.6775777414075287,-0.6555803265017579,0.7927800105409228
SOL,5m,14,2.0,None,ADX<35,mid_bb,2.0%,480,0.7208333333333333,-0.40188531565832797,0.8575824217690587
SOL,5m,14,2.0,None,ADX<35,mid_bb,3.0%,361,0.8005540166204986,0.2691906914936016,1.120378629591987
SOL,5m,14,2.0,None,ADX<35,1%,1.5%,484,0.5805785123966942,-0.7479324999999613,0.7705818254040782
SOL,5m,14,2.0,None,ADX<35,1%,2.0%,412,0.633495145631068,-0.8465549999999764,0.7337835500558254
