sweep,symbol,timeframe,sl_pct,rr,tp_pct,max_hold,trail_act,trail_dist,total_trades,wins,losses,win_rate,total_pnl,avg_win,avg_loss,profit_factor,max_dd,sharpe
RR,SOL,1h,0.01,1.0,0.01,,,,81,34,47,0.41975308641975306,-0.21589499999999515,0.00893911764705891,-0.01106010638297868,0.5846775357091407,0.25728999999999697,-4.286879410325788
RR,SOL,1h,0.01,1.5,0.015,,,,78,22,56,0.28205128205128205,-0.3127099999999981,0.01393863636363636,-0.011059999999999962,0.495107853267891,0.33911749999999896,-5.657444597578859
RR,SOL,1h,0.01,2.0,0.02,,,,76,17,59,0.2236842105263158,-0.33058499999999724,0.018938235294117707,-0.011059915254237255,0.49338349667067977,0.37304999999999805,-5.523805910690092
RR,SOL,1h,0.01,2.5,0.025,,,,76,16,60,0.21052631578947367,-0.2805749999999978,0.02393843750000002,-0.0110598333333333,0.577186214379363,0.3430599999999984,-4.107399844115653
RR,SOL,1h,0.01,3.0,0.03,,,,76,13,63,0.17105263157894737,-0.320569999999997,0.028938846153846228,-0.0110599206349206,0.5399232176814641,0.4040949999999979,-4.445642530138405
RR,SOL,1h,0.015,1.0,0.015,,,,73,29,44,0.3972602739726027,-0.30240249999999513,0.01393974137931035,-0.016060340909090805,0.5720648689954827,0.36696249999999647,-4.4795852695464555
RR,SOL,1h,0.015,1.5,0.0225,,,,71,22,49,0.30985915492957744,-0.31526749999999465,0.021440000000000015,-0.01606015306122439,0.5993792470272836,0.40129374999999584,-4.064779542745175
RR,SOL,1h,0.015,2.0,0.03,,,,70,19,51,0.2714285714285714,-0.26919249999999334,0.028940789473684274,-0.016060147058823426,0.6713427159544296,0.4334449999999961,-3.050561116411922
RR,SOL,1h,0.015,2.5,0.0375,,,,69,17,52,0.2463768115942029,-0.21568874999999235,0.036438897058823645,-0.016060576923076813,0.7417365143986184,0.432414999999996,-2.193545387087011
RR,SOL,1h,0.015,3.0,0.045,,,,67,16,51,0.23880597014925373,-0.11610249999999372,0.04393718750000002,-0.016060735294117532,0.8582555800744177,0.4463924999999959,-1.0753763819498057
RR,SOL,1h,0.02,1.0,0.02,,,,61,27,34,0.4426229508196721,-0.20462999999999623,0.018940370370370444,-0.021059411764705833,0.7142118935225318,0.29706999999999806,-2.6803441084506923
RR,SOL,1h,0.02,1.5,0.03,,,,59,23,36,0.3898305084745763,-0.09252499999999665,0.028940652173913114,-0.021059999999999943,0.8779611163870469,0.2502249999999982,-1.0208653715668417
RR,SOL,1h,0.02,2.0,0.04,,,,58,20,38,0.3448275862068966,-0.021519999999996174,0.03894000000000009,-0.021061052631578894,0.9731107556977258,0.25386999999999815,-0.20652699099160016
RR,SOL,1h,0.02,2.5,0.05,,,,54,18,36,0.3333333333333333,0.1227200000000042,0.04894000000000015,-0.021061111111111062,1.1618570298074449,0.21797999999999945,1.0932591626265942
RR,SOL,1h,0.02,3.0,0.06,,,,49,14,35,0.2857142857142857,0.0880300000000035,0.05894000000000014,-0.021060857142857093,1.119422625588436,0.27800999999999954,0.7891112547385817
RR,SOL,1h,0.03,1.0,0.03,,,,49,23,26,0.46938775510204084,-0.14195499999999744,0.02893934782608704,-0.03105999999999997,0.8242173956114748,0.3027849999999984,-1.535867633322583
RR,SOL,1h,0.03,1.5,0.045,,,,45,17,28,0.37777777777777777,-0.12275249999999815,0.0439386764705883,-0.031061071428571396,0.8588581251221693,0.30299749999999925,-1.1908780268889367
RR,SOL,1h,0.03,2.0,0.06,,,,40,11,29,0.275,-0.2524749999999973,0.05893727272727287,-0.0310615517241379,0.7197166915523707,0.4133949999999987,-2.4933682113231472
RR,SOL,1h,0.03,2.5,0.075,,,,34,9,25,0.2647058823529412,-0.11106249999999898,0.07393583333333335,-0.03105939999999997,0.85696761688893,0.39193749999999916,-1.1194554616320005
RR,SOL,1h,0.03,3.0,0.09,,,,33,9,24,0.2727272727272727,0.05500500000000213,0.08893500000000014,-0.03105874999999997,1.073791604620279,0.37692999999999904,0.49512731278719746
RR,XAU,1h,0.01,1.0,0.01,,,,42,20,22,0.47619047619047616,-0.06453999999999786,0.008939500000000069,-0.011060454545454509,0.7347634899108287,0.08241999999999793,-2.442158408556754
RR,XAU,1h,0.01,1.5,0.015,,,,32,10,22,0.3125,-0.10396499999999956,0.013938499999999984,-0.011061363636363607,0.5727758372714206,0.10776749999999968,-4.450803235425481
RR,XAU,1h,0.01,2.0,0.02,,,,28,5,23,0.17857142857142858,-0.159744999999999,0.018934000000000055,-0.011061521739130404,0.37210856278128474,0.16443999999999917,-7.883555946972929
RR,XAU,1h,0.01,2.5,0.025,,,,27,5,22,0.18518518518518517,-0.12368749999999934,0.023932499999999975,-0.011061363636363604,0.49173001849188513,0.13837749999999913,-5.349803127579761
RR,XAU,1h,0.01,3.0,0.03,,,,27,4,23,0.14814814814814814,-0.13868499999999878,0.028932500000000118,-0.011061521739130404,0.4548867008627667,0.13444499999999895,-5.739059423559859
RR,XAU,1h,0.015,1.0,0.015,,,,26,11,15,0.4230769230769231,-0.08760499999999814,0.013940681818181817,-0.016063499999999876,0.6364221163922399,0.13491499999999873,-3.608322573917116
RR,XAU,1h,0.015,1.5,0.0225,,,,22,6,16,0.2727272727272727,-0.1283799999999977,0.021440000000000032,-0.01606374999999987,0.5005057972142294,0.14460749999999872,-5.546094681474144
RR,XAU,1h,0.015,2.0,0.03,,,,21,6,15,0.2857142857142857,-0.06731249999999729,0.028940000000000115,-0.016063499999999863,0.7206399601581314,0.12853999999999874,-2.5028129596747832
RR,XAU,1h,0.015,2.5,0.0375,,,,20,3,17,0.15,-0.16374874999999772,0.036446250000000076,-0.016063970588235173,0.4003799148624564,0.1928099999999983,-6.931852019379224
RR,XAU,1h,0.015,3.0,0.045,,,,19,3,16,0.15789473684210525,-0.12519249999999776,0.04394750000000008,-0.016064687499999872,0.5129359814811262,0.19280999999999832,-4.77989614890735
RR,XAU,1h,0.02,1.0,0.02,,,,20,6,14,0.3,-0.18125999999999878,0.01893666666666674,-0.021062857142857088,0.3853092783505179,0.19806999999999905,-7.848880611227567
RR,XAU,1h,0.02,1.5,0.03,,,,19,6,13,0.3157894736842105,-0.10019999999999847,0.02893500000000011,-0.021062307692307623,0.634052810342943,0.13699999999999882,-3.6022514141405417
RR,XAU,1h,0.02,2.0,0.04,,,,18,3,15,0.16666666666666666,-0.19914999999999922,0.038933333333333334,-0.021063333333333278,0.3696787466371271,0.21701999999999938,-7.855017267816357
RR,XAU,1h,0.02,2.5,0.05,,,,17,3,14,0.17647058823529413,-0.14808499999999875,0.0489316666666668,-0.02106285714285708,0.49781266956050196,0.17594999999999905,-5.182300336932579
RR,XAU,1h,0.02,3.0,0.06,,,,14,3,11,0.21428571428571427,-0.05493999999999917,0.05893000000000012,-0.02106636363636359,0.7629137358132342,0.13071999999999956,-1.8978490450765295
RR,XAU,1h,0.03,1.0,0.03,,,,16,5,11,0.3125,-0.19701999999999906,0.02893700000000011,-0.031064090909090868,0.42342078693610197,0.22382499999999933,-7.028619525641651
RR,XAU,1h,0.03,1.5,0.045,,,,15,2,13,0.13333333333333333,-0.3159749999999993,0.04394000000000006,-0.03106576923076918,0.2176028525089457,0.32884749999999935,-13.115098947782176
RR,XAU,1h,0.03,2.0,0.06,,,,12,2,10,0.16666666666666666,-0.19280999999999915,0.05894000000000011,-0.03106899999999994,0.37941356335897664,0.2485999999999995,-7.603767664068974
RR,XAU,1h,0.03,2.5,0.075,,,,10,2,8,0.2,-0.10068999999999953,0.07393999999999995,-0.03107124999999993,0.5949229593273534,0.21752499999999947,-3.8053161780263
RR,XAU,1h,0.03,3.0,0.09,,,,10,2,8,0.2,-0.07068999999999925,0.08894000000000009,-0.03107124999999993,0.7156133081224628,0.21752499999999947,-2.3376326038000688
